dimension: 6
max non-zeros: 16
min non-zeros: 1
avg non-zeros: 2
we have 153 chains
136 are fixed
17 are free
45 have radius zero
   40 of these are fixed
   5 of these are free
108 have radius non-zero
   96 of these are fixed
   12 of these are free

sqr=5.927e+05  alp=0.1  con= 0 / 0  153 17 102     
sqr=5.828e+05  alp=0.08  con= 0 / 0  153 17 102     
sqr=5.378e+05  alp=0.064  con= 0 / 0  153 17 102     
sqr=4.788e+05  alp=0.0512  con= 0 / 0  153 17 102     
sqr=4.204e+05  alp=0.04096  con= 0 / 0  153 17 102     
sqr=3.695e+05  alp=0.03277  con= 0 / 0  153 17 102     
sqr=3.275e+05  alp=0.02621  con= 0 / 0  153 17 102     
sqr=2.939e+05  alp=0.02097  con= 0 / 0  153 17 102     
sqr=2.677e+05  alp=0.01678  con= 0 / 0  153 17 102     
sqr=2.473e+05  alp=0.01342  con= 0 / 0  153 17 102     
sqr=2.328e+05  alp=0.01074  con= 0 / 0  153 17 102     
sqr=2.208e+05  alp=0.00859  con= 0 / 0  153 17 102     
sqr=2.108e+05  alp=0.006872  con= 0 / 0  153 17 102     
sqr=2.031e+05  alp=0.005498  con= 0 / 0  153 17 102     
sqr=1.966e+05  alp=0.004398  con= 0 / 0  153 17 102     
sqr=1.743e+05  alp=3.484e-06  con= 0 / 0  153 17 102     
sqr=1.743e+05  alp=2.788e-06  con= 0 / 0  153 17 102     
sqr=1.743e+05  alp=2.23e-06  con= 0 / 0  153 17 102     
sqr=1.743e+05  alp=1.784e-06  con= 0 / 0  153 17 102     
sqr=1.743e+05  alp=1.427e-06  con= 0 / 0  153 17 102     
sqr=1.743e+05  alp=1.142e-06  con= 0 / 0  153 17 102     
sqr=1.743e+05  alp=9.134e-07  con= 0 / 0  153 17 102     
sqr=1.743e+05  alp=7.308e-07  con= 0 / 0  153 17 102     
sqr=1.743e+05  alp=5.846e-07  con= 0 / 0  153 17 102     
sqr=1.743e+05  alp=4.677e-07  con= 0 / 0  153 17 102     
sqr=1.743e+05  alp=3.741e-07  con= 0 / 0  153 17 102     
sqr=1.743e+05  alp=2.993e-07  con= 0 / 0  153 17 102     
sqr=1.743e+05  alp=2.395e-07  con= 0 / 0  153 17 102     
sqr=1.743e+05  alp=1.916e-07  con= 0 / 0  153 17 102     
sqr=1.743e+05  alp=1.532e-07  con= 0 / 0  153 17 102     
sqr=1.743e+05  alp=1.226e-07  con= 0 / 0  153 17 102     
sqr=1.743e+05  alp=9.808e-08  con= 0 / 0  153 17 102     
sqr=1.743e+05  alp=7.846e-08  con= 0 / 0  153 17 102     
sqr=1.743e+05  alp=6.277e-08  con= 0 / 0  153 17 102     
sqr=1.743e+05  alp=5.022e-08  con= 0 / 0  153 17 102     
sqr=1.743e+05  alp=4.017e-08  con= 0 / 0  153 17 102     
sqr=1.743e+05  alp=3.214e-08  con= 0 / 0  153 17 102     
sqr=1.743e+05  alp=2.571e-08  con= 0 / 0  153 17 102     
sqr=1.743e+05  alp=2.057e-08  con= 0 / 0  153 17 102     
sqr=1.743e+05  alp=1.646e-08  con= 0 / 0  153 17 102     
sqr=1.743e+05  alp=1.316e-08  con= 0 / 0  153 17 102     
sqr=1.743e+05  alp=1.053e-08  con= 0 / 0  153 17 102     
sqr=1.743e+05  alp=8.425e-09  con= 0 / 0  153 17 102     
sqr=1.743e+05  alp=6.74e-09  con= 0 / 0  153 17 102     
sqr=1.743e+05  alp=5.392e-09  con= 0 / 0  153 17 102     
sqr=1.743e+05  alp=4.314e-09  con= 0 / 0  153 17 102     
sqr=1.743e+05  alp=3.451e-09  con= 0 / 0  153 17 102     
sqr=1.743e+05  alp=2.761e-09  con= 0 / 0  153 17 102     
sqr=1.743e+05  alp=2.209e-09  con= 0 / 0  153 17 102     
sqr=1.743e+05  alp=1.767e-09  con= 0 / 0  153 17 102     
sqr=1.743e+05  alp=1.413e-09  con= 0 / 0  153 17 102     
sqr=1.743e+05  alp=1.131e-09  con= 0 / 0  153 17 102     
sqr=1.743e+05  alp=9.046e-10  con= 0 / 0  153 17 102     
sqr=1.743e+05  alp=7.237e-10  con= 0 / 0  153 17 102     
sqr=1.743e+05  alp=5.79e-10  con= 0 / 0  153 17 102     
sqr=1.743e+05  alp=4.632e-10  con= 0 / 0  153 17 102     
sqr=1.743e+05  alp=3.705e-10  con= 0 / 0  153 17 102     
sqr=1.743e+05  alp=2.964e-10  con= 0 / 0  153 17 102     
sqr=1.743e+05  alp=2.371e-10  con= 0 / 0  153 17 102     
sqr=1.743e+05  alp=1.897e-10  con= 0 / 0  153 17 102     
sqr=1.743e+05  alp=1.518e-10  con= 0 / 0  153 17 102     
sqr=1.743e+05  alp=1.214e-10  con= 0 / 0  153 17 102     
sqr=1.743e+05  alp=9.713e-11  con= 0 / 0  153 17 102     
sqr=1.743e+05  alp=7.771e-11  con= 0 / 0  153 17 102     
sqr=1.743e+05  alp=6.217e-11  con= 0 / 0  153 17 102     
sqr=1.743e+05  alp=4.973e-11  con= 0 / 0  153 17 102     
sqr=1.743e+05  alp=3.979e-11  con= 0 / 0  153 17 102     
sqr=1.743e+05  alp=3.183e-11  con= 0 / 0  153 17 102     
sqr=1.743e+05  alp=2.546e-11  con= 0 / 0  153 17 102     
sqr=1.743e+05  alp=2.037e-11  con= 0 / 0  153 17 102     
sqr=1.743e+05  alp=1.63e-11  con= 0 / 0  153 17 102     
sqr=1.743e+05  alp=1.304e-11  con= 0 / 0  153 17 102     
sqr=1.743e+05  alp=1.043e-11  con= 0 / 0  153 17 102     
sqr=1.743e+05  alp=8.344e-12  con= 0 / 0  153 17 102     
sqr=1.743e+05  alp=6.675e-12  con= 0 / 0  153 17 102     
sqr=1.743e+05  alp=5.34e-12  con= 0 / 0  153 17 102     
sqr=1.743e+05  alp=4.272e-12  con= 0 / 0  153 17 102     
sqr=1.743e+05  alp=3.418e-12  con= 0 / 0  153 17 102     
sqr=1.743e+05  alp=2.734e-12  con= 0 / 0  153 17 102     
sqr=1.743e+05  alp=2.187e-12  con= 0 / 0  153 17 102     
sqr=1.743e+05  alp=1.75e-12  con= 0 / 0  153 17 102     
sqr=1.743e+05  alp=1.4e-12  con= 0 / 0  153 17 102     
sqr=1.743e+05  alp=1.12e-12  con= 0 / 0  153 17 102     
sqr=1.743e+05  alp=8.959e-13  con= 0 / 0  153 17 102     
sqr=1.743e+05  alp=7.167e-13  con= 0 / 0  153 17 102     
sqr=1.743e+05  alp=5.734e-13  con= 0 / 0  153 17 102     
sqr=1.743e+05  alp=4.587e-13  con= 0 / 0  153 17 102     
sqr=1.743e+05  alp=3.67e-13  con= 0 / 0  153 17 102     
sqr=1.743e+05  alp=2.936e-13  con= 0 / 0  153 17 102     
sqr=1.743e+05  alp=2.349e-13  con= 0 / 0  153 17 102     
sqr=1.743e+05  alp=1.879e-13  con= 0 / 0  153 17 102     
sqr=1.743e+05  alp=1.503e-13  con= 0 / 0  153 17 102     
sqr=1.743e+05  alp=1.202e-13  con= 0 / 0  153 17 102     
sqr=1.743e+05  alp=9.62e-14  con= 0 / 0  153 17 102     
sqr=1.743e+05  alp=7.696e-14  con= 0 / 0  153 17 102     
sqr=1.743e+05  alp=6.157e-14  con= 0 / 0  153 17 102     
sqr=1.743e+05  alp=4.925e-14  con= 0 / 0  153 17 102     
sqr=1.743e+05  alp=3.94e-14  con= 0 / 0  153 17 102     
sqr=1.743e+05  alp=3.152e-14  con= 0 / 0  153 17 102     
sqr=1.743e+05  alp=2.522e-14  con= 0 / 0  153 17 102     
sqr=1.743e+05  alp=2.017e-14  con= 0 / 0  153 17 102     
sqr=1.743e+05  alp=1.614e-14  con= 0 / 0  153 17 102     
sqr=1.743e+05  alp=1.291e-14  con= 0 / 0  153 17 102     
sqr=1.57e+05  alp=0.08  con= 0 / 0  153 17 102     
sqr=1.229e+05  alp=0.064  con= 0 / 0  153 17 102     
sqr=9.839e+04  alp=0.0512  con= 0 / 0  153 17 102     
sqr=8.658e+04  alp=0.04096  con= 0 / 0  153 17 102     
sqr=8.054e+04  alp=0.03277  con= 0 / 0  153 17 102     
sqr=7.46e+04  alp=0.02621  con= 0 / 0  153 17 102     
sqr=6.95e+04  alp=0.02097  con= 0 / 0  153 17 102     
sqr=6.711e+04  alp=0.01678  con= 0 / 0  153 17 102     
sqr=6.597e+04  alp=0.01342  con= 0 / 0  153 17 102     
sqr=6.517e+04  alp=0.01074  con= 0 / 0  153 17 102     
sqr=6.461e+04  alp=0.00859  con= 0 / 0  153 17 102     
sqr=6.414e+04  alp=0.006872  con= 0 / 0  153 17 102     
sqr=6.369e+04  alp=0.005498  con= 0 / 0  153 17 102     
sqr=6.329e+04  alp=0.004398  con= 0 / 0  153 17 102     
sqr=6.295e+04  alp=0.003518  con= 0 / 0  153 17 102     
sqr=6.269e+04  alp=0.002815  con= 0 / 0  153 17 102     
sqr=6.249e+04  alp=0.002252  con= 0 / 0  153 17 102     
sqr=6.233e+04  alp=0.001801  con= 0 / 0  153 17 102     
sqr=6.221e+04  alp=0.001441  con= 0 / 0  153 17 102     
sqr=6.212e+04  alp=0.001153  con= 0 / 0  153 17 102     
sqr=6.205e+04  alp=0.0009223  con= 0 / 0  153 17 102     
sqr=6.199e+04  alp=0.0007379  con= 0 / 0  153 17 102     
sqr=6.195e+04  alp=0.0005903  con= 0 / 0  153 17 102     
sqr=6.191e+04  alp=0.0004722  con= 0 / 0  153 17 102     
sqr=6.188e+04  alp=0.0003778  con= 0 / 0  153 17 102     
sqr=6.186e+04  alp=0.0003022  con= 0 / 0  153 17 102     
sqr=6.183e+04  alp=0.0002418  con= 0 / 0  153 17 102     
sqr=6.181e+04  alp=0.0001934  con= 0 / 0  153 17 102     
sqr=6.18e+04  alp=0.0001547  con= 0 / 0  153 17 102     
sqr=6.178e+04  alp=0.0001238  con= 0 / 0  153 17 102     
sqr=6.177e+04  alp=9.904e-05  con= 0 / 0  153 17 102     
sqr=6.176e+04  alp=7.923e-05  con= 0 / 0  153 17 102     
sqr=6.175e+04  alp=6.338e-05  con= 0 / 0  153 17 102     
sqr=6.174e+04  alp=5.071e-05  con= 0 / 0  153 17 102     
sqr=6.174e+04  alp=4.056e-05  con= 0 / 0  153 17 102     
sqr=6.173e+04  alp=3.245e-05  con= 0 / 0  153 17 102     
sqr=6.173e+04  alp=2.596e-05  con= 0 / 0  153 17 102     
sqr=6.173e+04  alp=2.077e-05  con= 0 / 0  153 17 102     
sqr=6.172e+04  alp=1.662e-05  con= 0 / 0  153 17 102     
sqr=6.172e+04  alp=1.329e-05  con= 0 / 0  153 17 102     
sqr=6.172e+04  alp=1.063e-05  con= 0 / 0  153 17 102     
sqr=6.172e+04  alp=8.507e-06  con= 0 / 0  153 17 102     
sqr=6.172e+04  alp=6.806e-06  con= 0 / 0  153 17 102     
sqr=6.172e+04  alp=5.445e-06  con= 0 / 0  153 17 102     
sqr=6.172e+04  alp=4.356e-06  con= 0 / 0  153 17 102     
sqr=6.172e+04  alp=3.484e-06  con= 0 / 0  153 17 102     
sqr=6.172e+04  alp=2.788e-06  con= 0 / 0  153 17 102     
sqr=6.172e+04  alp=2.23e-06  con= 0 / 0  153 17 102     
sqr=6.172e+04  alp=1.784e-06  con= 0 / 0  153 17 102     
sqr=6.172e+04  alp=1.427e-06  con= 0 / 0  153 17 102     
sqr=6.171e+04  alp=1.142e-06  con= 0 / 0  153 17 102     
sqr=6.171e+04  alp=9.134e-07  con= 0 / 0  153 17 102     
sqr=6.171e+04  alp=7.308e-07  con= 0 / 0  153 17 102     
sqr=6.171e+04  alp=5.846e-07  con= 0 / 0  153 17 102     
sqr=6.171e+04  alp=4.677e-07  con= 0 / 0  153 17 102     
sqr=6.171e+04  alp=3.741e-07  con= 0 / 0  153 17 102     
sqr=6.171e+04  alp=2.993e-07  con= 0 / 0  153 17 102     
sqr=6.171e+04  alp=2.395e-07  con= 0 / 0  153 17 102     
sqr=6.171e+04  alp=1.916e-07  con= 0 / 0  153 17 102     
sqr=6.171e+04  alp=1.532e-07  con= 0 / 0  153 17 102     
sqr=6.171e+04  alp=1.226e-07  con= 0 / 0  153 17 102     
sqr=6.171e+04  alp=9.808e-08  con= 0 / 0  153 17 102     
sqr=6.171e+04  alp=7.846e-08  con= 0 / 0  153 17 102     
sqr=6.171e+04  alp=6.277e-08  con= 0 / 0  153 17 102     
sqr=6.171e+04  alp=5.022e-08  con= 0 / 0  153 17 102     
sqr=6.171e+04  alp=4.017e-08  con= 0 / 0  153 17 102     
sqr=6.171e+04  alp=3.214e-08  con= 0 / 0  153 17 102     
sqr=6.171e+04  alp=2.571e-08  con= 0 / 0  153 17 102     
sqr=6.171e+04  alp=2.057e-08  con= 0 / 0  153 17 102     
sqr=6.171e+04  alp=1.646e-08  con= 0 / 0  153 17 102     
sqr=6.171e+04  alp=1.316e-08  con= 0 / 0  153 17 102     
sqr=6.171e+04  alp=1.053e-08  con= 0 / 0  153 17 102     
sqr=6.171e+04  alp=8.425e-09  con= 0 / 0  153 17 102     
sqr=6.171e+04  alp=6.74e-09  con= 0 / 0  153 17 102     
sqr=6.171e+04  alp=5.392e-09  con= 0 / 0  153 17 102     
sqr=6.171e+04  alp=4.314e-09  con= 0 / 0  153 17 102     
sqr=6.171e+04  alp=3.451e-09  con= 0 / 0  153 17 102     
sqr=6.171e+04  alp=2.761e-09  con= 0 / 0  153 17 102     
sqr=6.171e+04  alp=2.209e-09  con= 0 / 0  153 17 102     
sqr=6.171e+04  alp=1.767e-09  con= 0 / 0  153 17 102     
sqr=6.171e+04  alp=1.413e-09  con= 0 / 0  153 17 102     
sqr=6.171e+04  alp=1.131e-09  con= 0 / 0  153 17 102     
sqr=6.171e+04  alp=9.046e-10  con= 0 / 0  153 17 102     
sqr=6.171e+04  alp=7.237e-10  con= 0 / 0  153 17 102     
sqr=6.171e+04  alp=5.79e-10  con= 0 / 0  153 17 102     
sqr=6.171e+04  alp=4.632e-10  con= 0 / 0  153 17 102     
sqr=6.171e+04  alp=3.705e-10  con= 0 / 0  153 17 102     
sqr=6.171e+04  alp=2.964e-10  con= 0 / 0  153 17 102     
sqr=6.171e+04  alp=2.371e-10  con= 0 / 0  153 17 102     
sqr=6.171e+04  alp=1.897e-10  con= 0 / 0  153 17 102     
sqr=6.171e+04  alp=1.518e-10  con= 0 / 0  153 17 102     
sqr=6.171e+04  alp=1.214e-10  con= 0 / 0  153 17 102     
sqr=6.171e+04  alp=9.713e-11  con= 0 / 0  153 17 102     
sqr=6.171e+04  alp=7.771e-11  con= 0 / 0  153 17 102     
sqr=6.171e+04  alp=6.217e-11  con= 0 / 0  153 17 102     
sqr=6.171e+04  alp=4.973e-11  con= 0 / 0  153 17 102     
sqr=6.171e+04  alp=3.979e-11  con= 0 / 0  153 17 102     
sqr=6.171e+04  alp=3.183e-11  con= 0 / 0  153 17 102     
sqr=6.171e+04  alp=2.546e-11  con= 0 / 0  153 17 102     
sqr=6.171e+04  alp=2.037e-11  con= 0 / 0  153 17 102     
sqr=6.171e+04  alp=1.63e-11  con= 0 / 0  153 17 102     
sqr=6.171e+04  alp=1.304e-11  con= 0 / 0  153 17 102     
sqr=6.171e+04  alp=1.043e-11  con= 0 / 0  153 17 102     
sqr=6.171e+04  alp=8.344e-12  con= 0 / 0  153 17 102     
sqr=6.171e+04  alp=6.675e-12  con= 0 / 0  153 17 102     
sqr=6.171e+04  alp=5.34e-12  con= 0 / 0  153 17 102     
sqr=6.171e+04  alp=4.272e-12  con= 0 / 0  153 17 102     
sqr=6.171e+04  alp=3.418e-12  con= 0 / 0  153 17 102     
sqr=6.171e+04  alp=2.734e-12  con= 0 / 0  153 17 102     
sqr=6.171e+04  alp=2.187e-12  con= 0 / 0  153 17 102     
sqr=6.171e+04  alp=1.75e-12  con= 0 / 0  153 17 102     
sqr=6.171e+04  alp=1.4e-12  con= 0 / 0  153 17 102     
sqr=6.171e+04  alp=1.12e-12  con= 0 / 0  153 17 102     
sqr=6.171e+04  alp=8.959e-13  con= 0 / 0  153 17 102     
sqr=6.171e+04  alp=7.167e-13  con= 0 / 0  153 17 102     
sqr=6.171e+04  alp=5.734e-13  con= 0 / 0  153 17 102     
sqr=6.171e+04  alp=4.587e-13  con= 0 / 0  153 17 102     
sqr=6.171e+04  alp=3.67e-13  con= 0 / 0  153 17 102     
sqr=6.171e+04  alp=2.936e-13  con= 0 / 0  153 17 102     
sqr=6.171e+04  alp=2.349e-13  con= 0 / 0  153 17 102     
sqr=6.171e+04  alp=1.879e-13  con= 0 / 0  153 17 102     
sqr=6.171e+04  alp=1.503e-13  con= 0 / 0  153 17 102     
sqr=6.171e+04  alp=1.202e-13  con= 0 / 0  153 17 102     
sqr=6.171e+04  alp=9.62e-14  con= 0 / 0  153 17 102     
sqr=6.171e+04  alp=7.696e-14  con= 0 / 0  153 17 102     
sqr=6.171e+04  alp=6.157e-14  con= 0 / 0  153 17 102     
sqr=6.038e+04  alp=0.08  con= 0 / 0  153 17 102     
sqr=5.98e+04  alp=0.064  con= 0 / 0  153 17 102     
sqr=5.964e+04  alp=0.02097  con= 0 / 0  153 17 102     
sqr=5.96e+04  alp=0.01074  con= 0 / 0  153 17 102     
sqr=5.958e+04  alp=0.00859  con= 0 / 0  153 17 102     
sqr=5.957e+04  alp=0.006872  con= 0 / 0  153 17 102     
sqr=5.956e+04  alp=0.005498  con= 0 / 0  153 17 102     
sqr=5.955e+04  alp=0.004398  con= 0 / 0  153 17 102     
sqr=5.954e+04  alp=0.003518  con= 0 / 0  153 17 102     
sqr=5.953e+04  alp=0.002815  con= 0 / 0  153 17 102     
sqr=5.952e+04  alp=0.002252  con= 0 / 0  153 17 102     
sqr=5.951e+04  alp=0.001801  con= 0 / 0  153 17 102     
sqr=5.949e+04  alp=0.001441  con= 0 / 0  153 17 102     
sqr=5.947e+04  alp=0.001153  con= 0 / 0  153 17 102     
sqr=5.945e+04  alp=0.0009223  con= 0 / 0  153 17 102     
sqr=5.944e+04  alp=0.0007379  con= 0 / 0  153 17 102     
sqr=5.942e+04  alp=0.0005903  con= 0 / 0  153 17 102     
sqr=5.941e+04  alp=0.0004722  con= 0 / 0  153 17 102     
sqr=5.94e+04  alp=0.0003778  con= 0 / 0  153 17 102     
sqr=5.939e+04  alp=0.0003022  con= 0 / 0  153 17 102     
sqr=5.938e+04  alp=0.0002418  con= 0 / 0  153 17 102     
sqr=5.937e+04  alp=0.0001934  con= 0 / 0  153 17 102     
sqr=5.937e+04  alp=0.0001547  con= 0 / 0  153 17 102     
sqr=5.936e+04  alp=0.0001238  con= 0 / 0  153 17 102     
sqr=5.936e+04  alp=9.904e-05  con= 0 / 0  153 17 102     
sqr=5.936e+04  alp=7.923e-05  con= 0 / 0  153 17 102     
sqr=5.935e+04  alp=6.338e-05  con= 0 / 0  153 17 102     
sqr=5.935e+04  alp=5.071e-05  con= 0 / 0  153 17 102     
sqr=5.935e+04  alp=4.056e-05  con= 0 / 0  153 17 102     
sqr=5.935e+04  alp=3.245e-05  con= 0 / 0  153 17 102     
sqr=5.935e+04  alp=2.596e-05  con= 0 / 0  153 17 102     
sqr=5.935e+04  alp=2.077e-05  con= 0 / 0  153 17 102     
sqr=5.935e+04  alp=1.662e-05  con= 0 / 0  153 17 102     
sqr=5.935e+04  alp=1.329e-05  con= 0 / 0  153 17 102     
sqr=5.935e+04  alp=1.063e-05  con= 0 / 0  153 17 102     
sqr=5.935e+04  alp=8.507e-06  con= 0 / 0  153 17 102     
sqr=5.935e+04  alp=6.806e-06  con= 0 / 0  153 17 102     
sqr=5.935e+04  alp=5.445e-06  con= 0 / 0  153 17 102     
sqr=5.935e+04  alp=4.356e-06  con= 0 / 0  153 17 102     
sqr=5.935e+04  alp=3.484e-06  con= 0 / 0  153 17 102     
sqr=5.935e+04  alp=2.788e-06  con= 0 / 0  153 17 102     
sqr=5.935e+04  alp=2.23e-06  con= 0 / 0  153 17 102     
sqr=5.935e+04  alp=1.784e-06  con= 0 / 0  153 17 102     
sqr=5.935e+04  alp=1.427e-06  con= 0 / 0  153 17 102     
sqr=5.935e+04  alp=1.142e-06  con= 0 / 0  153 17 102     
sqr=5.935e+04  alp=9.134e-07  con= 0 / 0  153 17 102     
sqr=5.935e+04  alp=7.308e-07  con= 0 / 0  153 17 102     
sqr=5.935e+04  alp=5.846e-07  con= 0 / 0  153 17 102     
sqr=5.935e+04  alp=4.677e-07  con= 0 / 0  153 17 102     
sqr=5.935e+04  alp=3.741e-07  con= 0 / 0  153 17 102     
sqr=5.935e+04  alp=2.993e-07  con= 0 / 0  153 17 102     
sqr=5.935e+04  alp=2.395e-07  con= 0 / 0  153 17 102     
sqr=5.935e+04  alp=1.916e-07  con= 0 / 0  153 17 102     
sqr=5.935e+04  alp=1.532e-07  con= 0 / 0  153 17 102     
sqr=5.935e+04  alp=1.226e-07  con= 0 / 0  153 17 102     
sqr=5.935e+04  alp=9.808e-08  con= 0 / 0  153 17 102     
sqr=5.935e+04  alp=7.846e-08  con= 0 / 0  153 17 102     
sqr=5.935e+04  alp=6.277e-08  con= 0 / 0  153 17 102     
sqr=5.935e+04  alp=5.022e-08  con= 0 / 0  153 17 102     
sqr=5.935e+04  alp=4.017e-08  con= 0 / 0  153 17 102     
sqr=5.935e+04  alp=3.214e-08  con= 0 / 0  153 17 102     
sqr=5.935e+04  alp=2.571e-08  con= 0 / 0  153 17 102     
sqr=5.935e+04  alp=2.057e-08  con= 0 / 0  153 17 102     
sqr=5.935e+04  alp=1.646e-08  con= 0 / 0  153 17 102     
sqr=5.935e+04  alp=1.316e-08  con= 0 / 0  153 17 102     
sqr=5.935e+04  alp=1.053e-08  con= 0 / 0  153 17 102     
sqr=5.935e+04  alp=8.425e-09  con= 0 / 0  153 17 102     
sqr=5.935e+04  alp=6.74e-09  con= 0 / 0  153 17 102     
sqr=5.935e+04  alp=5.392e-09  con= 0 / 0  153 17 102     
sqr=5.935e+04  alp=4.314e-09  con= 0 / 0  153 17 102     
sqr=5.935e+04  alp=3.451e-09  con= 0 / 0  153 17 102     
sqr=5.935e+04  alp=2.761e-09  con= 0 / 0  153 17 102     
sqr=5.935e+04  alp=2.209e-09  con= 0 / 0  153 17 102     
sqr=5.935e+04  alp=1.767e-09  con= 0 / 0  153 17 102     
sqr=5.935e+04  alp=1.413e-09  con= 0 / 0  153 17 102     
sqr=5.935e+04  alp=1.131e-09  con= 0 / 0  153 17 102     
sqr=5.935e+04  alp=9.046e-10  con= 0 / 0  153 17 102     
sqr=5.935e+04  alp=7.237e-10  con= 0 / 0  153 17 102     
sqr=5.935e+04  alp=5.79e-10  con= 0 / 0  153 17 102     
sqr=5.935e+04  alp=4.632e-10  con= 0 / 0  153 17 102     
sqr=5.935e+04  alp=3.705e-10  con= 0 / 0  153 17 102     
sqr=5.935e+04  alp=2.964e-10  con= 0 / 0  153 17 102     
sqr=5.935e+04  alp=2.371e-10  con= 0 / 0  153 17 102     
sqr=5.935e+04  alp=1.897e-10  con= 0 / 0  153 17 102     
sqr=5.935e+04  alp=1.518e-10  con= 0 / 0  153 17 102     
sqr=5.935e+04  alp=1.214e-10  con= 0 / 0  153 17 102     
sqr=5.935e+04  alp=9.713e-11  con= 0 / 0  153 17 102     
sqr=5.935e+04  alp=7.771e-11  con= 0 / 0  153 17 102     
sqr=5.935e+04  alp=6.217e-11  con= 0 / 0  153 17 102     
sqr=5.935e+04  alp=4.973e-11  con= 0 / 0  153 17 102     
sqr=5.935e+04  alp=3.979e-11  con= 0 / 0  153 17 102     
sqr=5.935e+04  alp=3.183e-11  con= 0 / 0  153 17 102     
sqr=5.935e+04  alp=2.546e-11  con= 0 / 0  153 17 102     
sqr=5.935e+04  alp=2.037e-11  con= 0 / 0  153 17 102     
sqr=5.935e+04  alp=1.63e-11  con= 0 / 0  153 17 102     
sqr=5.935e+04  alp=1.304e-11  con= 0 / 0  153 17 102     
sqr=5.935e+04  alp=1.043e-11  con= 0 / 0  153 17 102     
sqr=5.935e+04  alp=8.344e-12  con= 0 / 0  153 17 102     
sqr=5.935e+04  alp=6.675e-12  con= 0 / 0  153 17 102     
sqr=5.935e+04  alp=5.34e-12  con= 0 / 0  153 17 102     
sqr=5.935e+04  alp=4.272e-12  con= 0 / 0  153 17 102     
sqr=5.935e+04  alp=3.418e-12  con= 0 / 0  153 17 102     
sqr=5.935e+04  alp=2.734e-12  con= 0 / 0  153 17 102     
