dimension: 10
max non-zeros: 18
min non-zeros: 1
avg non-zeros: 2
we have 190 chains
171 are fixed
19 are free
90 have radius zero
   81 of these are fixed
   9 of these are free
100 have radius non-zero
   90 of these are fixed
   10 of these are free

sqr=4.554e+05  alp=4.587e-13  con= 0 / 0  190 19 190     
sqr=4.554e+05  alp=3.67e-13  con= 0 / 0  190 19 190     
sqr=4.554e+05  alp=2.936e-13  con= 0 / 0  190 19 190     
sqr=4.554e+05  alp=2.349e-13  con= 0 / 0  190 19 190     
sqr=4.554e+05  alp=1.879e-13  con= 0 / 0  190 19 190     
sqr=4.554e+05  alp=1.503e-13  con= 0 / 0  190 19 190     
sqr=4.554e+05  alp=1.202e-13  con= 0 / 0  190 19 190     
sqr=4.554e+05  alp=9.62e-14  con= 0 / 0  190 19 190     
sqr=4.554e+05  alp=7.696e-14  con= 0 / 0  190 19 190     
sqr=4.554e+05  alp=6.157e-14  con= 0 / 0  190 19 190     
sqr=4.554e+05  alp=4.925e-14  con= 0 / 0  190 19 190     
sqr=4.554e+05  alp=3.94e-14  con= 0 / 0  190 19 190     
sqr=4.554e+05  alp=3.152e-14  con= 0 / 0  190 19 190     
sqr=4.554e+05  alp=2.522e-14  con= 0 / 0  190 19 190     
sqr=4.554e+05  alp=2.017e-14  con= 0 / 0  190 19 190     
sqr=4.554e+05  alp=1.614e-14  con= 0 / 0  190 19 190     
sqr=4.554e+05  alp=1.291e-14  con= 0 / 0  190 19 190     
sqr=4.554e+05  alp=1.033e-14  con= 0 / 0  190 19 190     
sqr=4.554e+05  alp=8.263e-15  con= 0 / 0  190 19 190     
sqr=2.93e+05  alp=0.08  con= 0 / 0  190 19 190     
sqr=1.596e+05  alp=0.064  con= 0 / 0  190 19 190     
sqr=8.56e+04  alp=0.0512  con= 0 / 0  190 19 190     
sqr=5.351e+04  alp=0.04096  con= 0 / 0  190 19 190     
sqr=3.973e+04  alp=0.03277  con= 0 / 0  190 19 190     
sqr=3.558e+04  alp=0.02621  con= 0 / 0  190 19 190     
sqr=3.412e+04  alp=0.02097  con= 0 / 0  190 19 190     
sqr=3.272e+04  alp=0.01678  con= 0 / 0  190 19 190     
sqr=3.053e+04  alp=0.01342  con= 0 / 0  190 19 190     
sqr=2.854e+04  alp=0.01074  con= 0 / 0  190 19 190     
sqr=2.713e+04  alp=0.00859  con= 0 / 0  190 19 190     
sqr=2.615e+04  alp=0.006872  con= 0 / 0  190 19 190     
sqr=2.548e+04  alp=0.005498  con= 0 / 0  190 19 190     
sqr=2.5e+04  alp=0.004398  con= 0 / 0  190 19 190     
sqr=2.466e+04  alp=0.003518  con= 0 / 0  190 19 190     
sqr=2.441e+04  alp=0.002815  con= 0 / 0  190 19 190     
sqr=2.422e+04  alp=0.002252  con= 0 / 0  190 19 190     
sqr=2.408e+04  alp=0.001801  con= 0 / 0  190 19 190     
sqr=2.397e+04  alp=0.001441  con= 0 / 0  190 19 190     
sqr=2.388e+04  alp=0.001153  con= 0 / 0  190 19 190     
sqr=2.381e+04  alp=0.0009223  con= 0 / 0  190 19 190     
sqr=2.376e+04  alp=0.0007379  con= 0 / 0  190 19 190     
sqr=2.372e+04  alp=0.0005903  con= 0 / 0  190 19 190     
sqr=2.369e+04  alp=0.0004722  con= 0 / 0  190 19 190     
sqr=2.366e+04  alp=0.0003778  con= 0 / 0  190 19 190     
sqr=2.364e+04  alp=0.0003022  con= 0 / 0  190 19 190     
sqr=2.362e+04  alp=0.0002418  con= 0 / 0  190 19 190     
sqr=2.361e+04  alp=0.0001934  con= 0 / 0  190 19 190     
sqr=2.36e+04  alp=0.0001547  con= 0 / 0  190 19 190     
sqr=2.359e+04  alp=0.0001238  con= 0 / 0  190 19 190     
sqr=2.359e+04  alp=9.904e-05  con= 0 / 0  190 19 190     
sqr=2.358e+04  alp=7.923e-05  con= 0 / 0  190 19 190     
sqr=2.358e+04  alp=6.338e-05  con= 0 / 0  190 19 190     
sqr=2.357e+04  alp=5.071e-05  con= 0 / 0  190 19 190     
sqr=2.357e+04  alp=4.056e-05  con= 0 / 0  190 19 190     
sqr=2.357e+04  alp=3.245e-05  con= 0 / 0  190 19 190     
sqr=2.357e+04  alp=2.596e-05  con= 0 / 0  190 19 190     
sqr=2.357e+04  alp=2.077e-05  con= 0 / 0  190 19 190     
sqr=2.357e+04  alp=1.662e-05  con= 0 / 0  190 19 190     
sqr=2.357e+04  alp=1.329e-05  con= 0 / 0  190 19 190     
sqr=2.357e+04  alp=1.063e-05  con= 0 / 0  190 19 190     
sqr=2.357e+04  alp=8.507e-06  con= 0 / 0  190 19 190     
sqr=2.356e+04  alp=6.806e-06  con= 0 / 0  190 19 190     
sqr=2.356e+04  alp=5.445e-06  con= 0 / 0  190 19 190     
sqr=2.356e+04  alp=4.356e-06  con= 0 / 0  190 19 190     
sqr=2.356e+04  alp=3.484e-06  con= 0 / 0  190 19 190     
sqr=2.356e+04  alp=2.788e-06  con= 0 / 0  190 19 190     
sqr=2.356e+04  alp=2.23e-06  con= 0 / 0  190 19 190     
