dimension: 10
max non-zeros: 13
min non-zeros: 1
avg non-zeros: 2
we have 105 chains
91 are fixed
14 are free
30 have radius zero
   26 of these are fixed
   4 of these are free
75 have radius non-zero
   65 of these are fixed
   10 of these are free

sqr=576.9  alp=0.01342  con= 0 / 0  105 14 140     
sqr=523.2  alp=0.00859  con= 0 / 0  105 14 140     
sqr=486.9  alp=0.006872  con= 0 / 0  105 14 140     
sqr=457.4  alp=0.005498  con= 0 / 0  105 14 140     
sqr=430.7  alp=0.004398  con= 0 / 0  105 14 140     
sqr=405.7  alp=0.003518  con= 0 / 0  105 14 140     
sqr=382.7  alp=0.002815  con= 0 / 0  105 14 140     
sqr=362.6  alp=0.002252  con= 0 / 0  105 14 140     
sqr=345.9  alp=0.001801  con= 0 / 0  105 14 140     
sqr=333.2  alp=0.001441  con= 0 / 0  105 14 140     
sqr=323.6  alp=0.001153  con= 0 / 0  105 14 140     
sqr=316.1  alp=0.0009223  con= 0 / 0  105 14 140     
sqr=310.5  alp=0.0007379  con= 0 / 0  105 14 140     
sqr=306.3  alp=0.0005903  con= 0 / 0  105 14 140     
sqr=303  alp=0.0004722  con= 0 / 0  105 14 140     
sqr=300.3  alp=0.0003778  con= 0 / 0  105 14 140     
sqr=298.3  alp=0.0003022  con= 0 / 0  105 14 140     
sqr=296.7  alp=0.0002418  con= 0 / 0  105 14 140     
sqr=295.5  alp=0.0001934  con= 0 / 0  105 14 140     
sqr=294.6  alp=0.0001547  con= 0 / 0  105 14 140     
sqr=293.8  alp=0.0001238  con= 0 / 0  105 14 140     
sqr=293.2  alp=9.904e-05  con= 0 / 0  105 14 140     
sqr=292.8  alp=7.923e-05  con= 0 / 0  105 14 140     
sqr=292.4  alp=6.338e-05  con= 0 / 0  105 14 140     
sqr=292.1  alp=5.071e-05  con= 0 / 0  105 14 140     
sqr=291.9  alp=4.056e-05  con= 0 / 0  105 14 140     
sqr=291.7  alp=3.245e-05  con= 0 / 0  105 14 140     
sqr=291.6  alp=2.596e-05  con= 0 / 0  105 14 140     
sqr=291.5  alp=2.077e-05  con= 0 / 0  105 14 140     
sqr=291.4  alp=1.662e-05  con= 0 / 0  105 14 140     
sqr=291.3  alp=1.329e-05  con= 0 / 0  105 14 140     
sqr=291.2  alp=1.063e-05  con= 0 / 0  105 14 140     
