dimension: 6
max non-zeros: 6
min non-zeros: 1
avg non-zeros: 2
we have 28 chains
21 are fixed
7 are free
7 have radius zero
   6 of these are fixed
   1 of these are free
21 have radius non-zero
   15 of these are fixed
   6 of these are free

sqr=1.623e+05  alp=0.1  con= 0 / 0  28 7 42     
sqr=1.575e+05  alp=0.08  con= 0 / 0  28 7 42     
sqr=1.358e+05  alp=0.064  con= 0 / 0  28 7 42     
sqr=1.07e+05  alp=0.0512  con= 0 / 0  28 7 42     
sqr=7.571e+04  alp=0.04096  con= 0 / 0  28 7 42     
sqr=4.754e+04  alp=0.03277  con= 0 / 0  28 7 42     
sqr=2.879e+04  alp=0.02621  con= 0 / 0  28 7 42     
sqr=1.814e+04  alp=0.02097  con= 0 / 0  28 7 42     
sqr=1.19e+04  alp=0.01678  con= 0 / 0  28 7 42     
sqr=8421  alp=0.01342  con= 0 / 0  28 7 42     
sqr=6226  alp=0.01074  con= 0 / 0  28 7 42     
sqr=4718  alp=0.00859  con= 0 / 0  28 7 42     
sqr=3650  alp=0.006872  con= 0 / 0  28 7 42     
sqr=2915  alp=0.005498  con= 0 / 0  28 7 42     
sqr=2392  alp=0.004398  con= 0 / 0  28 7 42     
sqr=990.3  alp=1.131e-09  con= 0 / 0  28 7 42     
sqr=990.3  alp=9.046e-10  con= 0 / 0  28 7 42     
sqr=990.3  alp=7.237e-10  con= 0 / 0  28 7 42     
sqr=990.3  alp=5.79e-10  con= 0 / 0  28 7 42     
sqr=990.3  alp=4.632e-10  con= 0 / 0  28 7 42     
sqr=990.3  alp=3.705e-10  con= 0 / 0  28 7 42     
sqr=990.3  alp=2.964e-10  con= 0 / 0  28 7 42     
sqr=990.3  alp=2.371e-10  con= 0 / 0  28 7 42     
sqr=990.3  alp=1.897e-10  con= 0 / 0  28 7 42     
sqr=990.3  alp=1.518e-10  con= 0 / 0  28 7 42     
sqr=990.3  alp=1.214e-10  con= 0 / 0  28 7 42     
sqr=990.3  alp=9.713e-11  con= 0 / 0  28 7 42     
sqr=990.3  alp=7.771e-11  con= 0 / 0  28 7 42     
sqr=990.3  alp=6.217e-11  con= 0 / 0  28 7 42     
sqr=990.3  alp=4.973e-11  con= 0 / 0  28 7 42     
sqr=990.3  alp=3.979e-11  con= 0 / 0  28 7 42     
sqr=990.3  alp=3.183e-11  con= 0 / 0  28 7 42     
sqr=990.3  alp=2.546e-11  con= 0 / 0  28 7 42     
sqr=990.3  alp=2.037e-11  con= 0 / 0  28 7 42     
sqr=990.3  alp=1.63e-11  con= 0 / 0  28 7 42     
sqr=990.3  alp=1.304e-11  con= 0 / 0  28 7 42     
sqr=990.3  alp=1.043e-11  con= 0 / 0  28 7 42     
sqr=990.3  alp=8.344e-12  con= 0 / 0  28 7 42     
sqr=990.3  alp=6.675e-12  con= 0 / 0  28 7 42     
sqr=990.3  alp=5.34e-12  con= 0 / 0  28 7 42     
sqr=990.3  alp=4.272e-12  con= 0 / 0  28 7 42     
sqr=990.3  alp=3.418e-12  con= 0 / 0  28 7 42     
sqr=990.3  alp=2.734e-12  con= 0 / 0  28 7 42     
sqr=990.3  alp=2.187e-12  con= 0 / 0  28 7 42     
sqr=990.3  alp=1.75e-12  con= 0 / 0  28 7 42     
sqr=990.3  alp=1.4e-12  con= 0 / 0  28 7 42     
sqr=990.3  alp=1.12e-12  con= 0 / 0  28 7 42     
sqr=990.3  alp=8.959e-13  con= 0 / 0  28 7 42     
sqr=990.3  alp=7.167e-13  con= 0 / 0  28 7 42     
sqr=990.3  alp=5.734e-13  con= 0 / 0  28 7 42     
sqr=990.3  alp=4.587e-13  con= 0 / 0  28 7 42     
sqr=990.3  alp=3.67e-13  con= 0 / 0  28 7 42     
sqr=990.3  alp=2.936e-13  con= 0 / 0  28 7 42     
sqr=990.3  alp=2.349e-13  con= 0 / 0  28 7 42     
sqr=238.4  alp=0.03277  con= 0 / 0  28 7 42     
sqr=98.75  alp=0.01678  con= 0 / 0  28 7 42     
sqr=82.11  alp=0.004398  con= 0 / 0  28 7 42     
sqr=79.83  alp=0.001801  con= 0 / 0  28 7 42     
sqr=79.1  alp=0.0009223  con= 0 / 0  28 7 42     
sqr=78.45  alp=0.0007379  con= 0 / 0  28 7 42     
sqr=77.72  alp=0.0005903  con= 0 / 0  28 7 42     
sqr=76.91  alp=0.0004722  con= 0 / 0  28 7 42     
sqr=75.98  alp=0.0003778  con= 0 / 0  28 7 42     
sqr=75.1  alp=0.0003022  con= 0 / 0  28 7 42     
sqr=74.36  alp=0.0002418  con= 0 / 0  28 7 42     
sqr=73.75  alp=0.0001934  con= 0 / 0  28 7 42     
sqr=73.23  alp=0.0001547  con= 0 / 0  28 7 42     
sqr=72.79  alp=0.0001238  con= 0 / 0  28 7 42     
sqr=72.43  alp=9.904e-05  con= 0 / 0  28 7 42     
sqr=72.14  alp=7.923e-05  con= 0 / 0  28 7 42     
sqr=71.91  alp=6.338e-05  con= 0 / 0  28 7 42     
sqr=71.72  alp=5.071e-05  con= 0 / 0  28 7 42     
sqr=71.56  alp=4.056e-05  con= 0 / 0  28 7 42     
sqr=71.43  alp=3.245e-05  con= 0 / 0  28 7 42     
sqr=71.33  alp=2.596e-05  con= 0 / 0  28 7 42     
sqr=71.24  alp=2.077e-05  con= 0 / 0  28 7 42     
sqr=71.17  alp=1.662e-05  con= 0 / 0  28 7 42     
sqr=71.12  alp=1.329e-05  con= 0 / 0  28 7 42     
sqr=71.08  alp=1.063e-05  con= 0 / 0  28 7 42     
sqr=71.04  alp=8.507e-06  con= 0 / 0  28 7 42     
sqr=71.02  alp=6.806e-06  con= 0 / 0  28 7 42     
sqr=70.99  alp=5.445e-06  con= 0 / 0  28 7 42     
sqr=70.98  alp=4.356e-06  con= 0 / 0  28 7 42     
sqr=70.96  alp=3.484e-06  con= 0 / 0  28 7 42     
sqr=70.95  alp=2.788e-06  con= 0 / 0  28 7 42     
sqr=70.94  alp=2.23e-06  con= 0 / 0  28 7 42     
sqr=70.93  alp=1.784e-06  con= 0 / 0  28 7 42     
sqr=70.93  alp=1.427e-06  con= 0 / 0  28 7 42     
sqr=70.92  alp=1.142e-06  con= 0 / 0  28 7 42     
sqr=70.92  alp=9.134e-07  con= 0 / 0  28 7 42     
sqr=70.92  alp=7.308e-07  con= 0 / 0  28 7 42     
sqr=70.91  alp=5.846e-07  con= 0 / 0  28 7 42     
sqr=70.91  alp=4.677e-07  con= 0 / 0  28 7 42     
sqr=70.91  alp=3.741e-07  con= 0 / 0  28 7 42     
sqr=70.91  alp=2.993e-07  con= 0 / 0  28 7 42     
sqr=70.91  alp=2.395e-07  con= 0 / 0  28 7 42     
sqr=70.91  alp=1.916e-07  con= 0 / 0  28 7 42     
sqr=70.91  alp=1.532e-07  con= 0 / 0  28 7 42     
sqr=70.91  alp=1.226e-07  con= 0 / 0  28 7 42     
sqr=70.9  alp=9.808e-08  con= 0 / 0  28 7 42     
sqr=70.9  alp=7.846e-08  con= 0 / 0  28 7 42     
sqr=70.9  alp=6.277e-08  con= 0 / 0  28 7 42     
sqr=70.9  alp=5.022e-08  con= 0 / 0  28 7 42     
sqr=70.9  alp=4.017e-08  con= 0 / 0  28 7 42     
sqr=70.9  alp=3.214e-08  con= 0 / 0  28 7 42     
sqr=70.9  alp=2.571e-08  con= 0 / 0  28 7 42     
sqr=70.9  alp=2.057e-08  con= 0 / 0  28 7 42     
sqr=70.9  alp=1.646e-08  con= 0 / 0  28 7 42     
sqr=70.9  alp=1.316e-08  con= 0 / 0  28 7 42     
sqr=70.9  alp=1.053e-08  con= 0 / 0  28 7 42     
sqr=70.9  alp=8.425e-09  con= 0 / 0  28 7 42     
sqr=70.9  alp=6.74e-09  con= 0 / 0  28 7 42     
sqr=70.9  alp=5.392e-09  con= 0 / 0  28 7 42     
sqr=70.9  alp=4.314e-09  con= 0 / 0  28 7 42     
sqr=70.9  alp=3.451e-09  con= 0 / 0  28 7 42     
sqr=70.9  alp=2.761e-09  con= 0 / 0  28 7 42     
sqr=70.9  alp=2.209e-09  con= 0 / 0  28 7 42     
sqr=70.9  alp=1.767e-09  con= 0 / 0  28 7 42     
sqr=70.9  alp=1.413e-09  con= 0 / 0  28 7 42     
sqr=70.9  alp=1.131e-09  con= 0 / 0  28 7 42     
sqr=70.9  alp=9.046e-10  con= 0 / 0  28 7 42     
sqr=70.9  alp=7.237e-10  con= 0 / 0  28 7 42     
sqr=70.9  alp=5.79e-10  con= 0 / 0  28 7 42     
sqr=70.9  alp=4.632e-10  con= 0 / 0  28 7 42     
sqr=70.9  alp=3.705e-10  con= 0 / 0  28 7 42     
sqr=70.9  alp=2.964e-10  con= 0 / 0  28 7 42     
sqr=70.9  alp=2.371e-10  con= 0 / 0  28 7 42     
sqr=70.9  alp=1.897e-10  con= 0 / 0  28 7 42     
sqr=70.9  alp=1.518e-10  con= 0 / 0  28 7 42     
sqr=70.9  alp=1.214e-10  con= 0 / 0  28 7 42     
sqr=70.9  alp=9.713e-11  con= 0 / 0  28 7 42     
sqr=70.9  alp=7.771e-11  con= 0 / 0  28 7 42     
sqr=70.9  alp=6.217e-11  con= 0 / 0  28 7 42     
sqr=70.9  alp=4.973e-11  con= 0 / 0  28 7 42     
sqr=70.9  alp=3.979e-11  con= 0 / 0  28 7 42     
sqr=70.9  alp=3.183e-11  con= 0 / 0  28 7 42     
sqr=70.9  alp=2.546e-11  con= 0 / 0  28 7 42     
sqr=70.9  alp=2.037e-11  con= 0 / 0  28 7 42     
sqr=70.9  alp=1.63e-11  con= 0 / 0  28 7 42     
sqr=70.9  alp=1.304e-11  con= 0 / 0  28 7 42     
sqr=70.9  alp=1.043e-11  con= 0 / 0  28 7 42     
sqr=70.9  alp=8.344e-12  con= 0 / 0  28 7 42     
sqr=66.28  alp=0.001441  con= 0 / 0  28 7 42     
sqr=63.1  alp=0.001153  con= 0 / 0  28 7 42     
sqr=59.28  alp=0.0009223  con= 0 / 0  28 7 42     
sqr=55.1  alp=0.0007379  con= 0 / 0  28 7 42     
sqr=51.54  alp=0.0005903  con= 0 / 0  28 7 42     
sqr=48.65  alp=0.0004722  con= 0 / 0  28 7 42     
sqr=46.31  alp=0.0003778  con= 0 / 0  28 7 42     
sqr=44.48  alp=0.0003022  con= 0 / 0  28 7 42     
sqr=43.04  alp=0.0002418  con= 0 / 0  28 7 42     
sqr=41.93  alp=0.0001934  con= 0 / 0  28 7 42     
sqr=41.04  alp=0.0001547  con= 0 / 0  28 7 42     
sqr=40.35  alp=0.0001238  con= 0 / 0  28 7 42     
sqr=39.8  alp=9.904e-05  con= 0 / 0  28 7 42     
sqr=39.37  alp=7.923e-05  con= 0 / 0  28 7 42     
sqr=39.03  alp=6.338e-05  con= 0 / 0  28 7 42     
sqr=38.76  alp=5.071e-05  con= 0 / 0  28 7 42     
sqr=38.55  alp=4.056e-05  con= 0 / 0  28 7 42     
sqr=38.38  alp=3.245e-05  con= 0 / 0  28 7 42     
sqr=38.25  alp=2.596e-05  con= 0 / 0  28 7 42     
sqr=38.14  alp=2.077e-05  con= 0 / 0  28 7 42     
sqr=38.06  alp=1.662e-05  con= 0 / 0  28 7 42     
sqr=37.99  alp=1.329e-05  con= 0 / 0  28 7 42     
sqr=37.94  alp=1.063e-05  con= 0 / 0  28 7 42     
sqr=37.89  alp=8.507e-06  con= 0 / 0  28 7 42     
sqr=37.86  alp=6.806e-06  con= 0 / 0  28 7 42     
sqr=37.83  alp=5.445e-06  con= 0 / 0  28 7 42     
sqr=37.81  alp=4.356e-06  con= 0 / 0  28 7 42     
sqr=37.79  alp=3.484e-06  con= 0 / 0  28 7 42     
sqr=37.78  alp=2.788e-06  con= 0 / 0  28 7 42     
sqr=37.77  alp=2.23e-06  con= 0 / 0  28 7 42     
sqr=37.76  alp=1.784e-06  con= 0 / 0  28 7 42     
sqr=37.75  alp=1.427e-06  con= 0 / 0  28 7 42     
sqr=37.74  alp=1.142e-06  con= 0 / 0  28 7 42     
sqr=37.74  alp=9.134e-07  con= 0 / 0  28 7 42     
sqr=37.74  alp=7.308e-07  con= 0 / 0  28 7 42     
sqr=37.73  alp=5.846e-07  con= 0 / 0  28 7 42     
sqr=37.73  alp=4.677e-07  con= 0 / 0  28 7 42     
sqr=37.73  alp=3.741e-07  con= 0 / 0  28 7 42     
sqr=37.73  alp=2.993e-07  con= 0 / 0  28 7 42     
sqr=37.73  alp=2.395e-07  con= 0 / 0  28 7 42     
sqr=37.73  alp=1.916e-07  con= 0 / 0  28 7 42     
sqr=37.73  alp=1.532e-07  con= 0 / 0  28 7 42     
sqr=37.72  alp=1.226e-07  con= 0 / 0  28 7 42     
sqr=37.72  alp=9.808e-08  con= 0 / 0  28 7 42     
sqr=37.72  alp=7.846e-08  con= 0 / 0  28 7 42     
sqr=37.72  alp=6.277e-08  con= 0 / 0  28 7 42     
sqr=37.72  alp=5.022e-08  con= 0 / 0  28 7 42     
sqr=37.72  alp=4.017e-08  con= 0 / 0  28 7 42     
sqr=37.72  alp=3.214e-08  con= 0 / 0  28 7 42     
sqr=37.72  alp=2.571e-08  con= 0 / 0  28 7 42     
sqr=37.72  alp=2.057e-08  con= 0 / 0  28 7 42     
sqr=37.72  alp=1.646e-08  con= 0 / 0  28 7 42     
sqr=37.72  alp=1.316e-08  con= 0 / 0  28 7 42     
sqr=37.72  alp=1.053e-08  con= 0 / 0  28 7 42     
sqr=37.72  alp=8.425e-09  con= 0 / 0  28 7 42     
sqr=37.72  alp=6.74e-09  con= 0 / 0  28 7 42     
sqr=37.72  alp=5.392e-09  con= 0 / 0  28 7 42     
sqr=37.72  alp=4.314e-09  con= 0 / 0  28 7 42     
sqr=37.72  alp=3.451e-09  con= 0 / 0  28 7 42     
sqr=37.72  alp=2.761e-09  con= 0 / 0  28 7 42     
sqr=37.72  alp=2.209e-09  con= 0 / 0  28 7 42     
sqr=37.72  alp=1.767e-09  con= 0 / 0  28 7 42     
sqr=37.72  alp=1.413e-09  con= 0 / 0  28 7 42     
sqr=37.72  alp=1.131e-09  con= 0 / 0  28 7 42     
sqr=37.72  alp=9.046e-10  con= 0 / 0  28 7 42     
sqr=37.72  alp=7.237e-10  con= 0 / 0  28 7 42     
sqr=37.72  alp=5.79e-10  con= 0 / 0  28 7 42     
sqr=37.72  alp=4.632e-10  con= 0 / 0  28 7 42     
sqr=37.72  alp=3.705e-10  con= 0 / 0  28 7 42     
sqr=37.72  alp=2.964e-10  con= 0 / 0  28 7 42     
sqr=37.72  alp=2.371e-10  con= 0 / 0  28 7 42     
sqr=37.72  alp=1.897e-10  con= 0 / 0  28 7 42     
sqr=37.72  alp=1.518e-10  con= 0 / 0  28 7 42     
sqr=37.72  alp=1.214e-10  con= 0 / 0  28 7 42     
sqr=37.72  alp=9.713e-11  con= 0 / 0  28 7 42     
sqr=37.72  alp=7.771e-11  con= 0 / 0  28 7 42     
sqr=37.72  alp=6.217e-11  con= 0 / 0  28 7 42     
sqr=37.72  alp=4.973e-11  con= 0 / 0  28 7 42     
sqr=37.72  alp=3.979e-11  con= 0 / 0  28 7 42     
sqr=37.72  alp=3.183e-11  con= 0 / 0  28 7 42     
sqr=37.72  alp=2.546e-11  con= 0 / 0  28 7 42     
sqr=37.72  alp=2.037e-11  con= 0 / 0  28 7 42     
sqr=37.72  alp=1.63e-11  con= 0 / 0  28 7 42     
sqr=37.72  alp=1.304e-11  con= 0 / 0  28 7 42     
sqr=37.72  alp=1.043e-11  con= 0 / 0  28 7 42     
sqr=37.72  alp=8.344e-12  con= 0 / 0  28 7 42     
sqr=37.72  alp=6.675e-12  con= 0 / 0  28 7 42     
sqr=33.36  alp=0.001153  con= 0 / 0  28 7 42     
sqr=32.32  alp=0.0009223  con= 0 / 0  28 7 42     
sqr=31.83  alp=0.0007379  con= 0 / 0  28 7 42     
sqr=31.6  alp=0.0004722  con= 0 / 0  28 7 42     
sqr=31.49  alp=0.0003778  con= 0 / 0  28 7 42     
sqr=31.44  alp=0.0002418  con= 0 / 0  28 7 42     
sqr=31.42  alp=0.0001547  con= 0 / 0  28 7 42     
sqr=31.41  alp=0.0001238  con= 0 / 0  28 7 42     
sqr=31.4  alp=6.338e-05  con= 0 / 0  28 7 42     
sqr=31.4  alp=5.071e-05  con= 0 / 0  28 7 42     
sqr=31.4  alp=3.245e-05  con= 0 / 0  28 7 42     
sqr=31.4  alp=2.596e-05  con= 0 / 0  28 7 42     
sqr=31.4  alp=1.662e-05  con= 0 / 0  28 7 42     
sqr=31.4  alp=1.063e-05  con= 0 / 0  28 7 42     
sqr=31.4  alp=8.507e-06  con= 0 / 0  28 7 42     
sqr=31.4  alp=5.445e-06  con= 0 / 0  28 7 42     
sqr=31.4  alp=3.484e-06  con= 0 / 0  28 7 42     
sqr=31.4  alp=2.23e-06  con= 0 / 0  28 7 42     
sqr=31.4  alp=1.784e-06  con= 0 / 0  28 7 42     
sqr=31.4  alp=1.142e-06  con= 0 / 0  28 7 42     
sqr=31.4  alp=7.308e-07  con= 0 / 0  28 7 42     
sqr=31.4  alp=5.846e-07  con= 0 / 0  28 7 42     
sqr=31.4  alp=2.993e-07  con= 0 / 0  28 7 42     
sqr=31.4  alp=2.395e-07  con= 0 / 0  28 7 42     
s=31.4 a=8.873e-16 c= 0 / 1 28 7 42 31.4 1.497
sqr=210.4  alp=0.02621  con= 0 / 1  28 7 42     
sqr=153.1  alp=0.01074  con= 0 / 1  28 7 42     
sqr=142.3  alp=0.002815  con= 0 / 1  28 7 42     
sqr=131.2  alp=0.002252  con= 0 / 1  28 7 42     
sqr=104.6  alp=0.001801  con= 0 / 1  28 7 42     
sqr=77.24  alp=0.001441  con= 0 / 1  28 7 42     
sqr=60  alp=0.001153  con= 0 / 1  28 7 42     
sqr=51.66  alp=0.0009223  con= 0 / 1  28 7 42     
sqr=47.44  alp=0.0007379  con= 0 / 1  28 7 42     
sqr=44.46  alp=0.0005903  con= 0 / 1  28 7 42     
sqr=41.92  alp=0.0004722  con= 0 / 1  28 7 42     
sqr=39.71  alp=0.0003778  con= 0 / 1  28 7 42     
sqr=37.85  alp=0.0003022  con= 0 / 1  28 7 42     
sqr=36.3  alp=0.0002418  con= 0 / 1  28 7 42     
sqr=35.05  alp=0.0001934  con= 0 / 1  28 7 42     
sqr=34.03  alp=0.0001547  con= 0 / 1  28 7 42     
sqr=33.22  alp=0.0001238  con= 0 / 1  28 7 42     
sqr=32.57  alp=9.904e-05  con= 0 / 1  28 7 42     
sqr=32.05  alp=7.923e-05  con= 0 / 1  28 7 42     
sqr=31.64  alp=6.338e-05  con= 0 / 1  28 7 42     
sqr=31.31  alp=5.071e-05  con= 0 / 1  28 7 42     
sqr=31.05  alp=4.056e-05  con= 0 / 1  28 7 42     
sqr=30.83  alp=3.245e-05  con= 0 / 1  28 7 42     
sqr=30.66  alp=2.596e-05  con= 0 / 1  28 7 42     
sqr=30.52  alp=2.077e-05  con= 0 / 1  28 7 42     
sqr=30.41  alp=1.662e-05  con= 0 / 1  28 7 42     
sqr=30.31  alp=1.329e-05  con= 0 / 1  28 7 42     
sqr=30.24  alp=1.063e-05  con= 0 / 1  28 7 42     
sqr=30.18  alp=8.507e-06  con= 0 / 1  28 7 42     
sqr=30.13  alp=6.806e-06  con= 0 / 1  28 7 42     
sqr=30.09  alp=5.445e-06  con= 0 / 1  28 7 42     
sqr=30.06  alp=4.356e-06  con= 0 / 1  28 7 42     
sqr=30.03  alp=3.484e-06  con= 0 / 1  28 7 42     
sqr=30.01  alp=2.788e-06  con= 0 / 1  28 7 42     
sqr=30  alp=2.23e-06  con= 0 / 1  28 7 42     
sqr=29.98  alp=1.784e-06  con= 0 / 1  28 7 42     
sqr=29.97  alp=1.427e-06  con= 0 / 1  28 7 42     
sqr=29.96  alp=1.142e-06  con= 0 / 1  28 7 42     
sqr=29.95  alp=9.134e-07  con= 0 / 1  28 7 42     
sqr=29.95  alp=7.308e-07  con= 0 / 1  28 7 42     
sqr=29.94  alp=5.846e-07  con= 0 / 1  28 7 42     
sqr=29.94  alp=4.677e-07  con= 0 / 1  28 7 42     
sqr=29.94  alp=3.741e-07  con= 0 / 1  28 7 42     
sqr=29.94  alp=2.993e-07  con= 0 / 1  28 7 42     
sqr=29.93  alp=2.395e-07  con= 0 / 1  28 7 42     
sqr=29.93  alp=1.916e-07  con= 0 / 1  28 7 42     
sqr=29.93  alp=1.532e-07  con= 0 / 1  28 7 42     
sqr=29.93  alp=1.226e-07  con= 0 / 1  28 7 42     
sqr=29.93  alp=9.808e-08  con= 0 / 1  28 7 42     
sqr=29.93  alp=7.846e-08  con= 0 / 1  28 7 42     
sqr=29.93  alp=6.277e-08  con= 0 / 1  28 7 42     
sqr=29.93  alp=5.022e-08  con= 0 / 1  28 7 42     
sqr=29.93  alp=4.017e-08  con= 0 / 1  28 7 42     
sqr=29.93  alp=3.214e-08  con= 0 / 1  28 7 42     
sqr=29.93  alp=2.571e-08  con= 0 / 1  28 7 42     
sqr=29.93  alp=2.057e-08  con= 0 / 1  28 7 42     
sqr=29.93  alp=1.646e-08  con= 0 / 1  28 7 42     
sqr=29.93  alp=1.316e-08  con= 0 / 1  28 7 42     
sqr=29.93  alp=1.053e-08  con= 0 / 1  28 7 42     
sqr=29.93  alp=8.425e-09  con= 0 / 1  28 7 42     
sqr=29.93  alp=6.74e-09  con= 0 / 1  28 7 42     
sqr=29.93  alp=5.392e-09  con= 0 / 1  28 7 42     
sqr=29.93  alp=4.314e-09  con= 0 / 1  28 7 42     
sqr=29.93  alp=3.451e-09  con= 0 / 1  28 7 42     
sqr=29.93  alp=2.761e-09  con= 0 / 1  28 7 42     
sqr=29.93  alp=2.209e-09  con= 0 / 1  28 7 42     
sqr=29.93  alp=1.767e-09  con= 0 / 1  28 7 42     
sqr=29.93  alp=1.413e-09  con= 0 / 1  28 7 42     
sqr=29.93  alp=1.131e-09  con= 0 / 1  28 7 42     
sqr=29.93  alp=9.046e-10  con= 0 / 1  28 7 42     
sqr=29.93  alp=7.237e-10  con= 0 / 1  28 7 42     
sqr=29.93  alp=5.79e-10  con= 0 / 1  28 7 42     
sqr=29.93  alp=4.632e-10  con= 0 / 1  28 7 42     
sqr=29.93  alp=3.705e-10  con= 0 / 1  28 7 42     
sqr=29.93  alp=2.964e-10  con= 0 / 1  28 7 42     
